x,y,theta
-49.46022595934774,51.93308096201106,-0.08007480537882579
-49.26578488065715,51.91747776711728,-0.3499299338152471
-49.08469559990259,51.85138939805485,-0.11712501462143943
-48.89315658081433,51.82885223631995,-0.15923179792628916
-48.70460059107177,51.798571775438866,-0.34653074833176184
-48.52401318750676,51.73336131427043,-0.03694813883662257
-48.327463130531015,51.72609584898979,-0.21779692816660848
-48.145188865859005,51.6857572201577,-0.3336415693985698
-47.960268915057576,51.621664191307346,-0.021926075366042932
-47.762490866033914,51.61732699983747,-0.27652150905061434
-47.5804255932883,51.565658340099745,-0.31073814317239085
-47.39851935017512,51.50724068149405,-0.0008007246016651875
-47.19992509364172,51.50708166215311,-0.31638317977625385
-47.01793058556756,51.447500267790936,-0.2655892725912965
-46.835801038201645,51.39795823934907,-0.02086759671554859
-46.63773573564668,51.39382449245215,-0.3374071374826226
-46.45749506236844,51.33059205608152,-0.18955392146599875
-46.27083886939353,51.2947807029436,-0.07055133738897881
-46.07867964892369,51.28120107464099,-0.3652839780041778
-45.89457390086711,51.21079028465921,-0.12471327788969547
-45.70417909418019,51.18692164956577,-0.12216330213753725
-45.51178765617335,51.16330085454435,-0.3480400207864812
-45.330568198276644,51.09755281480073,-0.07261946867901278
-45.13618862114747,51.083412207201484,-0.20453221801244367
-44.95016591449022,51.04482498516526,-0.3293268187803149
-44.7690936001634,50.982939378853146,0.03819420512723187
-44.569527552566385,50.99056535402286,-0.35629979764537306
-44.38446405101882,50.92168763087311,-0.13220115308129485
-44.19524095547679,50.896525360154904,-0.1301074639859732
-44.00405258428931,50.87150900793912,-0.3409979015760271
-43.82377792764001,50.80753673540923,-0.0634182383983406
-43.6283001517412,50.795123232908544,-0.21168448283794378
-43.44345620540174,50.755399513395844,-0.3498504202875454
-43.263762458248316,50.68983663367069,-0.03428509439845635
-43.06794631096227,50.68312042680859,-0.2380062367881996
-42.88007585684186,50.637542196409484,-0.31753549898288125
-42.6991058509217,50.57806523095343,0.0006812974947115835
-42.500471196291144,50.57820056026693,-0.30597509700695297
-42.31848610984897,50.52071232707961,-0.27353916211940443
-42.135289884152094,50.46931257145187,0.002485867444117671
-41.9374940873654,50.469804266596505,-0.34085075345084
-41.750954621043654,50.40363976727669,-0.03469826588172256
-41.5540832889054,50.3968059306522,-0.25378546497043053
-41.371448072654516,50.349434352123,-0.3260949650083468
-41.189792711599246,50.288004415144925,-0.0022769722308921807
-40.99130069525807,50.28755245355458,-0.30163065416756724
-40.80891313424287,50.23080733473117,-0.28743542976199166
-40.627711006193024,50.17724000456813,-0.00490313255757636
-40.42870025232654,50.17626422064201,-0.33277224899489916
-40.248518791708854,50.1139889460358,-0.20744038851278368
-40.06134738526719,50.074595353764536,-0.062220579318050334
-39.86709999204824,50.06249354741563,-0.3286594715344923
-39.683608870852325,49.999917983138104,-0.0016046511619072568
-39.48412526182502,49.99959788125835,-0.31374292458261366
-39.30367567503706,49.941049305154095,-0.28350934156503754
-39.1222633362733,49.88819342344344,-0.0075727994258344145
-38.92347926465941,49.886688042763446,-0.3368446088237235
-38.744494584270065,49.82400929015219,-0.21074759642991497
-38.55691008803349,49.78388044025628,-0.07591911227913595
-38.359867092711355,49.76889230413511,-0.32658699508962874
-38.179774300556026,49.70789201632528,-0.011645409730009227
-37.98242965685366,49.705593753196986,-0.28466932252641775
-37.79695714690394,49.651321422277995,-0.262262513774052
-37.611491571649964,49.60153399890097,-0.030770935714583867
-37.41561376520969,49.59550475245931,-0.3263420609025665
-37.23029197050119,49.53278391362965,-0.02864337651180972
-37.03317325825473,49.52713622351679,-0.23973971281578108
-36.85143480507568,49.482711922367656,-0.31239998549522796
-36.66568657381281,49.42271973999742,-0.0015999002740124855
-36.46615416731985,49.42240050777322,-0.34991530620972927
-36.28513110356739,49.35633930513631,-0.07156886431782757
-36.09098485319171,49.342420706203846,-0.19716124583909728
-35.903342679814976,49.30493799526444,-0.23556338555576425
-35.71700035239379,49.260212209522614,-0.05732292057292607
-35.520075947749746,49.24891154712361,-0.31736591022050603
-35.336903870852275,49.18874527414787,0.017466587838999775
-35.13736789930008,49.19223084119013,-0.2535560708509627
-34.94751792680978,49.143034390419146,-0.026455641451673322
-34.75206824926192,49.13786243715343,-0.33190057646834126
-34.566007586747354,49.073736664842066,-0.0016451018190909064
-34.366132180339484,49.07340784915076,-0.12754001246353608
-34.17008941123838,49.04826809231386,-0.192732344644064
-33.97823532551136,49.01082685810297,-0.06271022626420965
-33.782217243894,48.998518380961755,-0.23947150946804163
-33.593457154455905,48.95243135265689,-0.042130001144656926
-33.397329398833186,48.94416359792784,-0.2522634617754421
-33.206690559304036,48.89502560624107,0.027826823878992612
-33.00699945787602,48.9005838100567,-0.322679842545956
-32.82539754577944,48.839862269529704,0.02033952834198531
-32.62563631511726,48.84392587912475,-0.3372607295418145
-32.4384227599541,48.778277982161086,0.04162787821573181
-32.23876806845499,48.786593987446125,-0.27853879652976055
-32.05257969094309,48.73334914557418,-0.03561187439026636
-31.854623290066108,48.72629656546545,-0.04688296990450742
-31.656461940341256,48.716999360079335,-0.29090533942523794
-31.467638847070365,48.66046591225504,0.0494595118626996
-31.267813027755235,48.67035726660474,-0.0738412524307158
-31.068565438633673,48.6556177761632,-0.27459249915224054
-30.878014075962582,48.60193779476443,0.04898863524349334
-30.678203346864855,48.611734087607296,-0.025827267658636598
-30.478282137504365,48.60656952063383,-0.11668720324904062
-30.286965963441784,48.58414349530301,-0.18103777503287408
-30.099275787766814,48.549788334432925,0.009552340991899753
-29.899205875273967,48.551699528590014,-0.019851724280338004
-29.69920690320356,48.54772868250157,0.04519356364934885
-29.49941487374595,48.55676414865991,-0.2910397211873633
-29.309779329791258,48.4999596848862,-0.026746658158400848
-29.11123611643687,48.49464805074966,-0.024100024424715847
-28.911262668523015,48.489827752506805,0.044454706998900556
-28.711441202731248,48.4987166134434,-0.3386314893820312
-28.527258199401683,48.43384775197097,0.003320668262810934
-28.32716258795538,48.434512205559706,0.0006680427254310567
-28.12708273088482,48.43464586747261,-0.0016067666053330818
-27.927010007739373,48.434324397025776,-0.13377053106171177
-27.7349004936737,48.40847141180427,-0.15738881753215453
-27.545960650419858,48.37848639476762,-0.012909495923377291
-27.34593421850757,48.375904010902886,0.003676114206368554
-27.145862759436962,48.376639499748954,-0.0008357401508841467
-26.945785501575006,48.37647228711235,-0.1231694802564706
-26.75339565193295,48.35265516637378,-0.18060799846840525
-26.56505272478324,48.31826417547371,0.004516621127713183
-26.364976588933533,48.31916784972099,-0.006957071938154388
-26.164901931378008,48.317775893478014,0.009846454040282514
-25.964836373762786,48.319745893462105,-0.01684444806617406
-25.764859371679112,48.316377072612106,0.03151801755992891
-25.565055343319443,48.32267658557278,-0.14903671777105781
-25.37029873920089,48.29343386670275,-0.16639064349444646
-25.177533420267856,48.26106020426812,-0.002822672167103828
-24.977470796279455,48.26049549156793,0.00012368023718956701
-24.777389390862375,48.260520237683735,0.0012363655642624292
-24.577308530955516,48.26076761089504,0.00016369764873641973
-24.377227620536914,48.26080036366992,-0.0024074917471758224
-24.1771474468716,48.26031867137242,0.008934754444772939
-23.977088028697654,48.26210620071448,-0.3144565867365037
-23.792937900605462,48.20221165911554,0.016055813806685852
-23.59360261573743,48.20541242438007,-0.016268499572371732
-23.39356525559577,48.2021578295423,-8.587855093602692e-05
-23.193485151009547,48.202140646952806,0.005270204434142775
-22.993406675500502,48.20319511118423,-0.0025082270867654755
-22.79332788520333,48.20269326709052,-0.00126993096706546
-22.59325134541926,48.20243918356027,-0.0033067217630776053
-22.393180777220532,48.20177760344693,-0.32690139213112634
-22.20923149535107,48.13940658626537,0.03404066866101633
-22.00946840222111,48.14620928331288,-0.012582622687879939
-21.80942660558906,48.14369210002049,0.008446949968535584
-21.60935103083267,48.14538216858658,-0.0036293051433272895
-21.40927333044166,48.14465602237125,-0.0018263712558091087
-21.209195103493244,48.14429060484234,0.011107836549527307
-21.009072539161487,48.14651362500596,-0.3246113585508359
-20.828542644365758,48.08576259890479,0.0030494100632471924
-20.628600050415415,48.08637230775273,0.002107625145879661
-20.42851817649113,48.08679400596586,0.000706484306541081
-20.22843764934977,48.086935359741844,-0.001400628593524534
-20.0283571819563,48.08665512113495,-0.00020481061858443428
-19.828277919932486,48.08661414277696,-0.08005966864553772
-19.632637131171993,48.07091765590788,-0.22934003450603924
-19.447333349126257,48.0276589840569,0.012299998802334228
-19.247267068022246,48.03011992318125,-0.006866833691581628
-19.047194951075667,48.02874603963336,-0.008792620755341988
-18.847125096664325,48.02698685594444,0.01636233777836197
-18.647085146687274,48.03026026930641,-0.04679914411161398
-18.44858171728475,48.020963690718126,-0.26734591899771276
-18.26047447380115,47.96944057949885,0.009418081206410344
-18.06041183780251,47.971324841362886,-0.0034823219780299964
-17.860333496528508,47.97062810134138,0.0008029664633188981
-17.660252426239406,47.9707887597653,0.0008140558889627756
-17.460171573304184,47.97095163679788,0.0014976417363150617
-17.260097541499672,47.971251276242285,-0.314089354060387
-17.07905049674719,47.912439518633356,0.0018927987734939271
-16.879027621230488,47.912818122138944,0.009479475695375723
-16.678962052963357,47.91471469564014,-0.015597441348831025
-16.478908554743104,47.911594119872845,-0.00616055048710965
-16.278839792394976,47.91036157056874,0.035463635024512184
-16.07889724232574,47.91745523426758,-0.046877440311305876
-15.879509516956563,47.90810159554589,-0.27946077677254766
-15.6882120107992,47.853204834286835,0.008708437142213468
-15.488116465453267,47.85494739781633,-3.941971754161577e-05
-15.28803542826158,47.854939510678356,-3.416736517211836e-05
-15.087954373556768,47.854932674435894,-0.0010514536266300017
-14.887876478072718,47.85472230172955,-0.1282450257741861
-14.696009477033659,47.82998052336233,-0.1630850068203649
-14.508699741787463,47.79915938109189,-0.31911471742424025
-14.32903964312563,47.73979839278185,0.024176827873851274
-14.129645619256477,47.74462004726218,-0.36636976088870654
-13.946472831345123,47.67433799464978,-0.021216790979831437
-13.751282877476825,47.67019606867949,-0.22925532826456244
