x,y,theta,s
-13.948426,6.574661,1.733104,30.784662
-13.966791,6.686818,1.727950,30.898313
-13.984325,6.797466,1.721527,31.010342
-14.000888,6.906521,1.713756,31.120647
-14.016344,7.013898,1.704547,31.229131
-14.030555,7.119510,1.693794,31.335695
-14.043382,7.223274,1.681378,31.440249
-14.054689,7.325102,1.667159,31.542702
-14.064336,7.424911,1.650981,31.642977
-14.072187,7.522615,1.632666,31.740996
-14.078104,7.618128,1.612010,31.836692
-14.081949,7.711365,1.588785,31.930008
-14.083584,7.802242,1.562737,32.020900
-14.082871,7.890672,1.533582,32.109332
-14.079673,7.976570,1.501010,32.195290
-14.073852,8.059852,1.464688,32.278775
-14.065270,8.140431,1.424266,32.359810
-14.053788,8.218223,1.379390,32.438445
-14.039271,8.293142,1.329721,32.514757
-14.021579,8.365103,1.274966,32.588861
-14.000574,8.434020,1.214917,32.660908
-13.976120,8.499809,1.149497,32.731095
-13.948078,8.562384,1.078823,32.799666
-13.916311,8.621660,1.003259,32.866918
-13.880681,8.677551,0.923453,32.933200
-13.841049,8.729972,0.840350,32.998916
-13.797278,8.778838,0.755160,33.064519
-13.749231,8.824064,0.670162,33.130503
-13.696821,8.865601,0.589838,33.197377
-13.640148,8.903533,0.515510,33.265573
-13.579360,8.937976,0.447358,33.335441
-13.514600,8.969048,0.385295,33.407269
-13.446015,8.996864,0.329050,33.481280
-13.373750,9.021540,0.278242,33.557642
-13.297950,9.043192,0.232432,33.636474
-13.218761,9.061937,0.191170,33.717851
-13.136329,9.077890,0.154015,33.801813
-13.050797,9.091169,0.120555,33.888370
-12.962313,9.101888,0.090411,33.977500
-12.871021,9.110164,0.063240,34.069167
-12.777067,9.116114,0.038738,34.163309
-12.680596,9.119853,0.016636,34.259852
-12.581754,9.121497,-0.003303,34.358708
-12.480686,9.121163,-0.021286,34.459777
-12.377537,9.118967,-0.037495,34.562949
-12.272453,9.115025,-0.052088,34.668107
-12.165580,9.109454,-0.065202,34.775125
-12.057062,9.102368,-0.076956,34.883874
-11.947045,9.093885,-0.087453,34.994218
-11.835675,9.084120,-0.096783,35.106015
-11.723097,9.073190,-0.105023,35.219122
-11.609456,9.061211,-0.112237,35.333393
-11.494898,9.048299,-0.118482,35.448676
-11.379568,9.034571,-0.123803,35.564820
-11.263612,9.020141,-0.128238,35.681671
-11.147174,9.005127,-0.131817,35.799073
-11.030401,8.989645,-0.134564,35.916868
-10.913438,8.973810,-0.136494,36.034898
-10.796430,8.957739,-0.137617,36.153004
-10.679523,8.941548,-0.137935,36.271027
-10.562862,8.925354,-0.137446,36.388807
-10.446592,8.909272,-0.136138,36.506184
-10.330859,8.893418,-0.133994,36.622998
-10.215809,8.877909,-0.130991,36.739088
-10.101586,8.862861,-0.127238,36.854298
-9.988309,8.848369,-0.123317,36.968498
-9.875985,8.834447,-0.119385,37.081682
-9.764591,8.821085,-0.115446,37.193874
-9.654102,8.808272,-0.111501,37.305104
-9.544497,8.796000,-0.107554,37.415394
-9.435751,8.784259,-0.103606,37.524772
-9.327842,8.773039,-0.099660,37.633262
-9.220746,8.762330,-0.095720,37.740893
-9.114440,8.752123,-0.091789,37.847687
-9.008901,8.742409,-0.087869,37.953673
-8.904105,8.733177,-0.083963,38.058874
-8.800031,8.724418,-0.080075,38.163316
-8.696653,8.716122,-0.076208,38.267027
-8.593950,8.708280,-0.072364,38.370029
-8.491897,8.700882,-0.068548,38.472349
-8.390472,8.693919,-0.064763,38.574013
-8.289652,8.687380,-0.061012,38.675045
-8.189413,8.681257,-0.057298,38.775471
-8.089732,8.675539,-0.053626,38.875316
-7.990586,8.670217,-0.049997,38.974604
-7.891951,8.665282,-0.046417,39.073363
-7.793805,8.660723,-0.042887,39.171615
-7.696125,8.656531,-0.039412,39.269385
-7.598886,8.652696,-0.035996,39.366699
-7.502066,8.649210,-0.032640,39.463582
-7.405642,8.646061,-0.029350,39.560057
-7.309590,8.643242,-0.026127,39.656151
-7.213887,8.640741,-0.022975,39.751886
-7.118511,8.638549,-0.019898,39.847288
-7.023437,8.636657,-0.016898,39.942380
-6.928643,8.635055,-0.013979,40.037188
-6.834105,8.633733,-0.011143,40.131735
-6.739801,8.632682,-0.008393,40.226045
-6.645706,8.631893,-0.005731,40.320143
-6.551798,8.631354,-0.003161,40.414053
-6.458054,8.631058,-0.000685,40.507797
-6.364451,8.630994,0.001696,40.601400
-6.270964,8.631152,0.003978,40.694887
-6.177571,8.631524,0.006160,40.788281
-6.084250,8.632099,0.008240,40.881604
-5.990975,8.632867,0.010216,40.974882
-5.897726,8.633820,0.012087,41.068136
-5.804477,8.634947,0.013851,41.161392
-5.711206,8.636239,0.015508,41.254672
-5.617890,8.637686,0.017055,41.347999
-5.524506,8.639279,0.018492,41.441397
-5.431030,8.641008,0.019819,41.534889
-5.337439,8.642863,0.021034,41.628498
-5.243710,8.644835,0.022138,41.722248
-5.149819,8.646914,0.023130,41.816162
-5.055745,8.649090,0.024010,41.910261
-4.961462,8.651354,0.024778,42.004571
-4.866949,8.653696,0.025434,42.099113
-4.772181,8.656107,0.025980,42.193912
-4.677137,8.658577,0.026414,42.288988
-4.581791,8.661096,0.026739,42.384367
-4.486123,8.663655,0.026958,42.480069
-4.390110,8.666244,0.027093,42.576117
-4.293758,8.668855,0.027155,42.672505
-4.197082,8.671481,0.027144,42.769216
-4.100099,8.674114,0.027062,42.866235
-4.002825,8.676747,0.026909,42.963545
-3.905275,8.679373,0.026686,43.061130
-3.807466,8.681983,0.026393,43.158974
-3.709413,8.684572,0.026030,43.257061
-3.611133,8.687131,0.025598,43.355374
-3.512642,8.689652,0.025096,43.453897
-3.413956,8.692129,0.024526,43.552615
-3.315091,8.694555,0.023887,43.651509
-3.216063,8.696921,0.023180,43.750566
-3.116887,8.699220,0.022403,43.849768
-3.017581,8.701445,0.021558,43.949099
-2.918159,8.703589,0.020643,44.048544
-2.818639,8.705643,0.019659,44.148085
-2.719035,8.707602,0.018606,44.247709
-2.619365,8.709457,0.017482,44.347396
-2.519644,8.711200,0.016288,44.447132
-2.419887,8.712825,0.015023,44.546902
-2.320113,8.714324,0.013687,44.646688
-2.220335,8.715690,0.012278,44.746475
-2.120570,8.716915,0.010796,44.846248
-2.020835,8.717991,0.009241,44.945988
-1.921146,8.718913,0.007611,45.045682
-1.821517,8.719671,0.005905,45.145314
-1.721966,8.720259,0.004123,45.244866
-1.622509,8.720669,0.002264,45.344324
-1.523161,8.720894,0.000326,45.443672
-1.423938,8.720926,-0.001692,45.542895
-1.324857,8.720759,-0.003791,45.641977
-1.225934,8.720384,-0.005973,45.740900
-1.127184,8.719794,-0.008239,45.839652
-1.028624,8.718982,-0.010590,45.938215
-0.930270,8.717940,-0.013029,46.036575
-0.832137,8.716661,-0.015557,46.134716
-0.734242,8.715138,-0.018175,46.232623
-0.636601,8.713364,-0.020887,46.330280
-0.539229,8.711329,-0.023693,46.427673
-0.442144,8.709029,-0.026597,46.524786
-0.345360,8.706454,-0.029600,46.621604
-0.248895,8.703598,-0.032646,46.718111
-0.152756,8.700458,-0.035565,46.814301
-0.056929,8.697049,-0.038323,46.910189
0.038601,8.693386,-0.040916,47.005789
0.133854,8.689486,-0.043342,47.101122
0.228847,8.685367,-0.045597,47.196204
0.323596,8.681043,-0.047681,47.291052
0.418120,8.676533,-0.049589,47.385683
0.512437,8.671852,-0.051321,47.480117
0.606563,8.667017,-0.052874,47.574367
0.700517,8.662045,-0.054246,47.668452
0.794316,8.656952,-0.055436,47.762389
0.887977,8.651754,-0.056442,47.856194
0.981518,8.646469,-0.057264,47.949885
1.074956,8.641112,-0.057899,48.043476
1.168310,8.635701,-0.058348,48.136987
1.261596,8.630252,-0.058610,48.230432
1.354832,8.624781,-0.058684,48.323828
1.448036,8.619305,-0.058570,48.417193
1.541226,8.613841,-0.058268,48.510543
1.634417,8.608405,-0.057778,48.603892
1.727630,8.603013,-0.057100,48.697261
1.820880,8.597683,-0.056236,48.790663
1.914185,8.592430,-0.055185,48.884116
2.007563,8.587272,-0.053950,48.977636
2.101032,8.582224,-0.052530,49.071242
2.194609,8.577304,-0.050928,49.164948
2.288311,8.572528,-0.049144,49.258772
2.382156,8.567912,-0.047181,49.352730
2.476162,8.563474,-0.045041,49.446841
2.570347,8.559229,-0.042725,49.541121
2.664726,8.555194,-0.040237,49.635586
2.759320,8.551386,-0.037577,49.730257
2.854143,8.547821,-0.034750,49.825147
2.949216,8.544516,-0.031758,49.920278
3.044554,8.541487,-0.028603,50.015664
3.140175,8.538751,-0.025290,50.111324
3.236097,8.536325,-0.021820,50.207276
3.332338,8.534224,-0.018199,50.303540
3.428915,8.532466,-0.014429,50.400133
3.525846,8.531068,-0.010513,50.497074
3.623147,8.530045,-0.006457,50.594381
3.720838,8.529414,-0.002263,50.692074
3.818934,8.529192,0.002063,50.790170
3.917454,8.529395,0.006519,50.888690
4.016416,8.530040,0.011100,50.987654
4.115836,8.531144,0.015801,51.087081
4.215732,8.532723,0.020617,51.186989
4.316123,8.534793,0.025545,51.287401
4.417025,8.537371,0.030580,51.388336
4.518456,8.540474,0.035718,51.489815
4.620433,8.544117,0.040952,51.591857
4.722975,8.548319,0.046280,51.694485
4.826098,8.553095,0.051696,51.797718
4.929820,8.558462,0.057195,51.901579
5.034159,8.564436,0.062773,52.006089
5.139132,8.571034,0.068424,52.111269
5.244757,8.578273,0.074145,52.217142
5.351051,8.586168,0.079930,52.323729
5.458032,8.594738,0.085774,52.431052
5.565717,8.603997,0.091674,52.539135
5.674125,8.613963,0.097624,52.648000
5.783271,8.624652,0.103619,52.757668
5.893175,8.636081,0.109656,52.868165
6.003854,8.648267,0.115729,52.979513
6.115324,8.661225,0.121835,53.091733
6.227604,8.674973,0.127969,53.204852
6.340711,8.689526,0.134126,53.318891
6.454663,8.704903,0.140034,53.433876
6.569441,8.721082,0.144822,53.549789
6.684909,8.737922,0.148352,53.666478
6.800902,8.755257,0.150658,53.783759
6.917261,8.772921,0.151765,53.901451
7.033823,8.790748,0.151685,54.019369
7.150425,8.808572,0.150418,54.137325
7.266906,8.826226,0.147954,54.255137
7.383103,8.843545,0.144271,54.372617
7.498856,8.860361,0.139336,54.489585
7.614000,8.876510,0.133103,54.605856
7.728376,8.891824,0.125512,54.721253
7.841820,8.906138,0.116489,54.835596
7.954171,8.919285,0.105947,54.948714
8.065266,8.931099,0.093776,55.060435
8.174943,8.941415,0.079852,55.170596
8.283041,8.950065,0.064027,55.279040
8.389398,8.956884,0.046126,55.385615
8.493851,8.961705,0.025952,55.490179
8.596238,8.964363,0.003274,55.592601
8.696398,8.964691,-0.022172,55.692761
8.794168,8.962523,-0.050685,55.790556
8.889386,8.957693,-0.082604,55.885896
8.981891,8.950034,-0.118305,55.978717
9.071519,8.939381,-0.158198,56.068976
9.158110,8.925567,-0.202725,56.156662
9.241502,8.908426,-0.252335,56.241798
9.321531,8.887792,-0.307467,56.324444
9.398036,8.863499,-0.368503,56.404713
9.470856,8.835380,-0.435717,56.482774
9.539828,8.803269,-0.509194,56.558854
9.604789,8.767001,-0.588750,56.633254
9.665579,8.726409,-0.673851,56.706351
9.722035,8.681327,-0.763286,56.778598
9.774008,8.631603,-0.852306,56.850526
9.821514,8.577274,-0.937298,56.922696
9.864681,8.518502,-1.017302,56.995617
9.903639,8.455454,-1.091759,57.069731
9.938521,8.388296,-1.160433,57.145407
9.969455,8.317193,-1.223345,57.222948
9.996572,8.242312,-1.280700,57.302588
10.020004,8.163819,-1.332821,57.384503
10.039880,8.081880,-1.380097,57.468819
10.056331,7.996660,-1.422938,57.555612
10.069488,7.908326,-1.461755,57.644920
10.079481,7.817044,-1.496940,57.736748
10.086441,7.722979,-1.528855,57.831070
